State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Connecticut,4/13/2019,"3,454",4/6/2019,"33,500","1,653,688",2.03
Connecticut,4/20/2019,"7,462",4/13/2019,"34,116","1,653,688",2.06
Connecticut,4/27/2019,"5,685",4/20/2019,"39,410","1,653,688",2.38
Connecticut,5/4/2019,"2,477",4/27/2019,"30,858","1,653,688",1.87
Connecticut,5/11/2019,"2,150",5/4/2019,"28,954","1,653,688",1.75
Connecticut,5/18/2019,"2,582",5/11/2019,"28,585","1,653,688",1.73
Connecticut,5/25/2019,"2,692",5/18/2019,"28,460","1,653,688",1.72
Connecticut,6/1/2019,"2,124",5/25/2019,"28,471","1,653,688",1.72
Connecticut,6/8/2019,"2,517",6/1/2019,"28,844","1,653,688",1.74
Connecticut,6/15/2019,"3,080",6/8/2019,"28,474","1,653,688",1.72
Connecticut,6/22/2019,"6,799",6/15/2019,"29,791","1,653,688",1.8
Connecticut,6/29/2019,"5,107",6/22/2019,"35,091","1,653,688",2.12
Connecticut,7/6/2019,"3,551",6/29/2019,"35,681","1,653,688",2.16
Connecticut,7/13/2019,"3,255",7/6/2019,"36,920","1,655,693",2.23
Connecticut,7/20/2019,"2,603",7/13/2019,"35,937","1,655,693",2.17
Connecticut,7/27/2019,"2,189",7/20/2019,"35,703","1,655,693",2.16
Connecticut,8/3/2019,"2,662",7/27/2019,"35,284","1,655,693",2.13
Connecticut,8/10/2019,"3,063",8/3/2019,"35,413","1,655,693",2.14
Connecticut,8/17/2019,"2,712",8/10/2019,"36,063","1,655,693",2.18
Connecticut,8/24/2019,"2,523",8/17/2019,"36,200","1,655,693",2.19
Connecticut,8/31/2019,"2,206",8/24/2019,"35,463","1,655,693",2.14
Connecticut,9/7/2019,"2,147",8/31/2019,"30,219","1,655,693",1.83
Connecticut,9/14/2019,"2,497",9/7/2019,"26,822","1,655,693",1.62
Connecticut,9/21/2019,"2,248",9/14/2019,"26,123","1,655,693",1.58
Connecticut,9/28/2019,"2,030",9/21/2019,"25,657","1,655,693",1.55
Connecticut,10/5/2019,"2,308",9/28/2019,"25,387","1,655,693",1.53
Connecticut,10/12/2019,"2,531",10/5/2019,"25,169","1,655,540",1.52
Connecticut,10/19/2019,"2,237",10/12/2019,"25,285","1,655,540",1.53
Connecticut,10/26/2019,"2,285",10/19/2019,"25,664","1,655,540",1.55
Connecticut,11/2/2019,"2,524",10/26/2019,"25,411","1,655,540",1.53
Connecticut,11/9/2019,"2,859",11/2/2019,"25,872","1,655,540",1.56
Connecticut,11/16/2019,"2,630",11/9/2019,"26,231","1,655,540",1.58
Connecticut,11/23/2019,"3,152",11/16/2019,"27,060","1,655,540",1.63
Connecticut,11/30/2019,"3,469",11/23/2019,"27,542","1,655,540",1.66
